year,assault,duration (days),US military aid to Israel (B $),housing destroyed,casualties,
2007,,,2.48,,,
2008,Y,23,2.54,46000,1400,
2009,Y,,2.56,,,
2010,,,3,,,
2011,,,3.42,,,
2012,Y,8,3.48,2050,158,
2013,,,3.43,,,
2014,Y,50,3.83,,2100,
2015,,,3.9,,,
2016,,,3.63,,,
2017,,,3.82,,,
2018,,,3.87,,,
2019,,,3.85,,,
2020,,,3.8,,,
2021,Y,11,3.8,,260,
2022,,,4.8,,,
2023,Y,197,3.8,,21700,
2024,Y,,4,,12780,34480
2025,,,,,,
,,,,,,
,,,,,,
,,,,,,
start,end,,,,,
27/12/08,18/01/09,,,,,
14/11/12,21/11/12,,,,,
08/07/14,26/08/14,,,,,
06/05/21,21/05/21,,,,,
07/10/23,21/04/24,,,,,
